episode,epsilon,random_agent_wins,random_opponent_wins,random_draws,random_avg_turns,random_avg_agent_balance,heur_agent_wins,heur_opponent_wins,heur_draws,heur_avg_turns,heur_avg_agent_balance,self_agent_wins,self_opponent_wins,self_draws,self_avg_turns
100,0.60577,0,0,3,59.33,47.33,0,0,3,61.0,26.67,0,0,3,60.0
200,0.366958,0,0,3,54.0,89.33,0,0,3,61.0,52.33,0,0,3,56.0
300,0.222292,0,0,3,61.0,125.67,0,0,3,61.0,85.67,0,0,3,61.67
400,0.134658,0,0,3,61.0,82.67,0,0,3,61.0,77.33,1,0,2,46.33
500,0.081572,0,0,3,61.0,114.0,0,0,3,61.0,89.33,3,0,0,15.0
600,0.05,0,0,3,61.67,69.67,0,0,3,61.0,92.33,3,0,0,15.0
700,0.05,0,0,3,61.0,55.33,0,0,3,52.67,59.0,3,0,0,15.0
800,0.05,0,0,3,61.0,88.33,0,0,3,61.0,116.33,3,0,0,15.0
900,0.05,0,0,3,61.0,75.33,0,0,3,61.33,136.67,3,0,0,15.0
1000,0.05,0,0,3,61.0,58.67,1,0,2,45.67,122.33,3,0,0,15.0
100,0.60577,0,0,3,39.33,113.0,0,0,3,61.0,28.67,0,0,3,61.67
200,0.366958,0,0,3,61.33,101.33,0,0,3,61.0,47.67,0,0,3,61.33
300,0.222292,0,0,3,61.0,65.33,0,0,3,61.33,6.67,0,0,3,61.0
400,0.134658,0,0,3,61.0,52.0,0,0,3,61.0,42.0,0,1,2,46.67
500,0.081572,0,0,3,43.0,91.0,0,0,3,61.0,21.67,0,3,0,18.0
600,0.05,0,0,3,61.0,66.67,0,0,3,61.0,5.33,0,3,0,18.0
700,0.05,0,0,3,61.0,109.0,0,0,3,61.0,19.67,0,3,0,18.0
800,0.05,0,0,3,52.67,76.33,0,0,3,61.0,20.67,0,3,0,18.0
900,0.05,0,0,3,61.0,51.33,0,0,3,61.0,80.33,0,3,0,18.0
1000,0.05,0,0,3,61.0,51.33,0,0,3,61.0,80.0,0,3,0,18.0
100,0.60577,0,0,3,61.0,83.33,0,0,3,61.0,23.33,0,0,3,61.0
200,0.366958,1,0,2,49.67,128.0,0,0,3,61.0,20.0,0,0,3,10.0
300,0.222292,0,0,3,56.0,77.0,0,0,3,61.0,40.0,0,0,3,55.67
400,0.134658,1,0,2,46.33,100.33,0,0,3,59.67,64.67,0,0,3,61.0
500,0.081572,0,0,3,61.0,69.67,0,0,3,61.0,40.67,1,0,2,51.67
600,0.05,0,0,3,61.0,67.67,0,0,3,61.0,55.33,3,0,0,27.0
700,0.05,0,0,3,61.33,86.33,0,0,3,61.33,36.33,3,0,0,27.0
800,0.05,0,0,3,57.33,103.33,0,0,3,61.0,66.33,3,0,0,27.0
900,0.05,0,0,3,61.0,45.0,0,0,3,61.33,52.67,3,0,0,27.0
1000,0.05,0,0,3,61.0,43.0,0,0,3,61.0,66.0,3,0,0,27.0
100,0.60577,0,0,3,61.0,60.33,0,0,3,61.0,73.67,0,0,3,61.0
200,0.366958,0,0,3,59.33,60.33,0,0,3,59.0,62.0,0,0,3,9.0
300,0.222292,0,0,3,54.0,136.33,0,0,3,61.0,89.33,0,0,3,61.33
400,0.134658,0,0,3,56.67,69.33,0,0,3,61.0,19.0,0,0,3,61.0
500,0.081572,0,0,3,61.0,135.33,0,0,3,61.0,1.0,0,0,3,61.0
600,0.05,0,0,3,58.67,74.0,0,0,3,53.33,25.67,0,0,3,30.0
700,0.05,0,0,3,61.0,73.0,0,0,3,61.33,62.33,3,0,0,37.0
